PREGUNTA;RESPUESTA
"Cual es el resultado de 30 - 17 ?";"A"
"¿Qué número es mayor?";"A"
"¿Cuál es un número impar?";"A"
"¿Qué ángulo mide 90°?";"A"
"Cual es el resultado de 56 ÷ 8 ?";"A"
"¿Cuál es el resultado de 3x si x = 4?";"A"
"¿Cuál es el resultado de 9 × 0?";"A"
"¿Qué número sigue en la secuencia 2, 4, 6, ___?";"A"
"¿Cuál es el MCD de 12 y 18?";"A"
"¿Cuál es el resultado de 18 ÷ 3?";"A"
