PREGUNTA;RESPUESTA
"¿Cuál es el antónimo de 'grande'?";"D"
"¿Qué tipo de texto expresa sentimientos?";"D"
"¿Qué es una oración?";"D"
"¿Qué número es mayor?";"D"
"¿Qué signo indica una pausa breve?";"D"
"¿Cuál es un ejemplo de palabra grave?";"D"
"¿Cuál es el plural de 'lápiz'?";"D"
"¿Qué palabra tiene diptongo?";"D"
"¿Cuál es un verbo?";"D"
"¿Qué tipo de texto cuenta una historia?";"D"
