ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Mantenimiento de la planta física";"2";"2025-11-18 08:54:13"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Asignación académica";"3";"2025-11-18 08:54:13"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Formación y capacitación";"3";"2025-11-18 08:54:13"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Ingresos y gastos";"2";"2025-11-18 08:54:13"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"2";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Actividades Extracurriculares";"1";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"1";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"4";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manual de Convivencia";"3";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"1";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Identificación y Divulgación de Buenas Prácticas";"4";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Mecanismos de Comunicación";"1";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Trabajo en Equipo";"2";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Misión, visión y principios en el marco de una institución integrada";"1";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comisión de Evaluación y Promoción";"1";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comité de Convivencia";"4";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo de Padres de Familia";"3";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Directivo";"1";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Personero Estudiantil";"1";"2025-11-18 08:54:13"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Sector Productivo";"1";"2025-11-18 08:54:13"
