ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Evaluación";"1";"2025-11-17 23:13:12"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"3";"2025-11-17 23:13:12"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Plan de estudios";"1";"2025-11-17 23:13:12"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Mantenimiento de la planta física";"1";"2025-11-17 23:13:12"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Servicios de transporte, restaurante, cafetería y salud (enfermería, odontología, psicología)";"1";"2025-11-17 23:13:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"1";"2025-11-17 23:13:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Necesidades y expectativas de los estudiantes";"1";"2025-11-17 23:13:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Oferta de servicios a la comunidad";"1";"2025-11-17 23:13:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"2";"2025-11-17 23:13:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"1";"2025-11-17 23:13:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"2";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Actividades Extracurriculares";"1";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"1";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manual de Convivencia";"1";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"1";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"1";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"2";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"1";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Otras Instituciones";"1";"2025-11-17 23:13:12"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Sector Productivo";"1";"2025-11-17 23:13:12"
