ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Mantenimiento de la planta física";"1";"2025-11-16 18:11:32"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"3";"2025-11-16 18:11:32"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Asignación académica";"4";"2025-11-16 18:11:32"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"3";"2025-11-16 18:11:32"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"3";"2025-11-16 18:11:32"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"1";"2025-11-16 18:11:32"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Oferta de servicios a la comunidad";"4";"2025-11-16 18:11:32"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos físicos";"2";"2025-11-16 18:11:32"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"1";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"1";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"1";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Mecanismos de Comunicación";"1";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Trabajo en Equipo";"4";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Uso de información (interna y externa) para la toma de decisiones";"4";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"4";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comisión de Evaluación y Promoción";"2";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo de Padres de Familia";"4";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"2";"2025-11-16 18:11:32"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Otras Instituciones";"2";"2025-11-16 18:11:32"
