ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"4";"2025-11-14 23:22:42"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Recursos para el aprendizaje";"3";"2025-11-14 23:22:42"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Mantenimiento de la planta física";"4";"2025-11-14 23:22:42"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"3";"2025-11-14 23:22:42"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Apoyo a estudiantes con bajo desempeño académico o con dificultades de interacción";"3";"2025-11-14 23:22:42"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"4";"2025-11-14 23:22:42"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Evaluación del desempeño";"4";"2025-11-14 23:22:42"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Perfiles";"4";"2025-11-14 23:22:42"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"4";"2025-11-14 23:22:42"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Contabilidad";"4";"2025-11-14 23:22:42"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"4";"2025-11-14 23:22:42"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Necesidades y expectativas de los estudiantes";"4";"2025-11-14 23:22:42"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Proyectos de vida";"4";"2025-11-14 23:22:42"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Bienestar del Alumnado";"4";"2025-11-14 23:22:42"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"3";"2025-11-14 23:22:42"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"3";"2025-11-14 23:22:42"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Mecanismos de Comunicación";"4";"2025-11-14 23:22:42"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Liderazgo";"2";"2025-11-14 23:22:42"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"3";"2025-11-14 23:22:42"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Estudiantil";"3";"2025-11-14 23:22:42"
