ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Enfoque metodológico";"3";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Asignación académica";"4";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"3";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"3";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"3";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"4";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Necesidades y expectativas de los estudiantes";"3";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Oferta de servicios a la comunidad";"1";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de las familias";"4";"2025-11-17 20:26:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"3";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Bienestar del Alumnado";"2";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"2";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"3";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"1";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Trabajo en Equipo";"2";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Metas institucionales";"4";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Liderazgo";"2";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo de Padres de Familia";"3";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Directivo";"3";"2025-11-17 20:26:12"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Sector Productivo";"3";"2025-11-17 20:26:12"
