ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Servicios de transporte, restaurante, cafetería y salud (enfermería, odontología, psicología)";"1";"2025-11-14 18:44:41"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Estímulos";"1";"2025-11-14 18:44:41"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Asamblea y consejo de padres de familia";"1";"2025-11-14 18:44:41"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"1";"2025-11-14 18:44:41"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"1";"2025-11-14 18:44:41"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"1";"2025-11-14 18:44:41"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Ingresos y gastos";"1";"2025-11-14 18:44:41"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de las familias";"1";"2025-11-14 18:44:41"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manual de Convivencia";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Trabajo en Equipo";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Conocimiento y apropiación del direccionamiento institucional";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Misión, visión y principios en el marco de una institución integrada";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Estrategia pedagógica";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Liderazgo";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"1";"2025-11-14 18:44:41"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Estudiantil";"1";"2025-11-14 18:44:41"
