ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Plan de estudios";"2";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Bienestar del talento humano";"3";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"3";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Inducción";"4";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"1";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"2";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de las familias";"1";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"3";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"2";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Servicio social estudiantil";"2";"2025-11-14 17:45:10"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Uso de la planta física y de los medios";"2";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"2";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"1";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Identificación y Divulgación de Buenas Prácticas";"3";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Conocimiento y apropiación del direccionamiento institucional";"2";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"3";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Estrategia pedagógica";"3";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"3";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Estudiantil";"2";"2025-11-14 17:45:10"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Familias o Acudientes";"2";"2025-11-14 17:45:10"
