ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Recursos para el aprendizaje";"2";"2025-11-15 00:23:20"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Mantenimiento de la planta física";"3";"2025-11-15 00:23:20"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Apoyo a estudiantes con bajo desempeño académico o con dificultades de interacción";"2";"2025-11-15 00:23:20"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Asignación académica";"3";"2025-11-15 00:23:20"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Bienestar del talento humano";"3";"2025-11-15 00:23:20"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Estímulos";"1";"2025-11-15 00:23:20"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Evaluación del desempeño";"3";"2025-11-15 00:23:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"1";"2025-11-15 00:23:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de las familias";"2";"2025-11-15 00:23:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Presupuesto anual del Fondo de Servicios Educativos (FSE)";"1";"2025-11-15 00:23:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"1";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"3";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Bienestar del Alumnado";"1";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Estrategia pedagógica";"1";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"4";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Uso de información (interna y externa) para la toma de decisiones";"3";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"1";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Directivo";"3";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Personero Estudiantil";"1";"2025-11-15 00:23:20"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"4";"2025-11-15 00:23:20"
