ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"2";"2025-11-16 14:57:50"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Plan de estudios";"2";"2025-11-16 14:57:50"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"1";"2025-11-16 14:57:50"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Evaluación del desempeño";"2";"2025-11-16 14:57:50"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Formación y capacitación";"2";"2025-11-16 14:57:50"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"2";"2025-11-16 14:57:50"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Presupuesto anual del Fondo de Servicios Educativos (FSE)";"1";"2025-11-16 14:57:50"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"2";"2025-11-16 14:57:50"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Proyectos de vida";"1";"2025-11-16 14:57:50"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Uso de la planta física y de los medios";"2";"2025-11-16 14:57:50"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Actividades Extracurriculares";"2";"2025-11-16 14:57:50"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"2";"2025-11-16 14:57:50"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Trabajo en Equipo";"3";"2025-11-16 14:57:50"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Metas institucionales";"1";"2025-11-16 14:57:50"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"2";"2025-11-16 14:57:50"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"1";"2025-11-16 14:57:50"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Estudiantil";"2";"2025-11-16 14:57:50"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Otras Instituciones";"2";"2025-11-16 14:57:50"
