ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Enfoque metodológico";"2";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Bienestar del talento humano";"3";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Perfiles";"2";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Contabilidad";"2";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Oferta de servicios a la comunidad";"1";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"2";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Presupuesto anual del Fondo de Servicios Educativos (FSE)";"2";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos físicos";"3";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"3";"2025-11-14 16:29:36"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Proyectos de vida";"4";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Actividades Extracurriculares";"2";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"4";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Trabajo en Equipo";"3";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Misión, visión y principios en el marco de una institución integrada";"3";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"2";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Estrategia pedagógica";"3";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comisión de Evaluación y Promoción";"3";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comité de Convivencia";"1";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Personero Estudiantil";"3";"2025-11-14 16:29:36"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Sector Productivo";"1";"2025-11-14 16:29:36"
