ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Recursos para el aprendizaje";"3";"2025-11-18 18:08:12"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Mantenimiento de la planta física";"4";"2025-11-18 18:08:12"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"4";"2025-11-18 18:08:12"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"3";"2025-11-18 18:08:12"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Estímulos";"4";"2025-11-18 18:08:12"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Formación y capacitación";"4";"2025-11-18 18:08:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"1";"2025-11-18 18:08:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de las familias";"4";"2025-11-18 18:08:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"3";"2025-11-18 18:08:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"4";"2025-11-18 18:08:12"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Proyectos de vida";"3";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"4";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Bienestar del Alumnado";"4";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"2";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"4";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Metas institucionales";"3";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"4";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"4";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"4";"2025-11-18 18:08:12"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo de Padres de Familia";"4";"2025-11-18 18:08:12"
