ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Enfoque metodológico";"2";"2025-11-14 15:34:56"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"4";"2025-11-14 15:34:56"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Plan de estudios";"3";"2025-11-14 15:34:56"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Mantenimiento de la planta física";"2";"2025-11-14 15:34:56"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Apoyo a estudiantes con bajo desempeño académico o con dificultades de interacción";"4";"2025-11-14 15:34:56"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Asignación académica";"2";"2025-11-14 15:34:56"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Estímulos";"4";"2025-11-14 15:34:56"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Perfiles";"3";"2025-11-14 15:34:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Contabilidad";"2";"2025-11-14 15:34:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"2";"2025-11-14 15:34:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"4";"2025-11-14 15:34:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"3";"2025-11-14 15:34:56"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Servicio social estudiantil";"1";"2025-11-14 15:34:56"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"3";"2025-11-14 15:34:56"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Identificación y Divulgación de Buenas Prácticas";"3";"2025-11-14 15:34:56"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Trabajo en Equipo";"4";"2025-11-14 15:34:56"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"2";"2025-11-14 15:34:56"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"3";"2025-11-14 15:34:56"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comisión de Evaluación y Promoción";"3";"2025-11-14 15:34:56"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo de Padres de Familia";"1";"2025-11-14 15:34:56"
