ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Evaluación";"1";"2025-11-15 13:52:45"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Plan de estudios";"2";"2025-11-15 13:52:45"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Recursos para el aprendizaje";"1";"2025-11-15 13:52:45"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Asamblea y consejo de padres de familia";"3";"2025-11-15 13:52:45"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Servicio social estudiantil";"2";"2025-11-15 13:52:45"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Uso de la planta física y de los medios";"3";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"3";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"2";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Identificación y Divulgación de Buenas Prácticas";"1";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Mecanismos de Comunicación";"2";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"2";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"3";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"2";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Estrategia pedagógica";"3";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Liderazgo";"4";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"3";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comisión de Evaluación y Promoción";"2";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"4";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Estudiantil";"3";"2025-11-15 13:52:45"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Sector Productivo";"1";"2025-11-15 13:52:45"
