ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"2";"2025-11-14 22:06:13"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Bienestar del talento humano";"4";"2025-11-14 22:06:13"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Perfiles";"3";"2025-11-14 22:06:13"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Pertenencia del personal vinculado";"3";"2025-11-14 22:06:13"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Actividades Extracurriculares";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Bienestar del Alumnado";"2";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Casos Difíciles";"1";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"4";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"4";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Mecanismos de Comunicación";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comité de Convivencia";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"2";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Directivo";"4";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Personero Estudiantil";"3";"2025-11-14 22:06:13"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"4";"2025-11-14 22:06:13"
