ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Evaluación";"4";"2025-11-16 15:39:57"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"4";"2025-11-16 15:39:57"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"4";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"4";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Estímulos";"4";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Evaluación del desempeño";"4";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Inducción";"3";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"4";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"4";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos físicos";"1";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"2";"2025-11-16 15:39:57"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Servicio social estudiantil";"3";"2025-11-16 15:39:57"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"2";"2025-11-16 15:39:57"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"4";"2025-11-16 15:39:57"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comité de Convivencia";"4";"2025-11-16 15:39:57"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"4";"2025-11-16 15:39:57"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo de Padres de Familia";"4";"2025-11-16 15:39:57"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Directivo";"4";"2025-11-16 15:39:57"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Estudiantil";"4";"2025-11-16 15:39:57"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Sector Productivo";"1";"2025-11-16 15:39:57"
