ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Enfoque metodológico";"4";"2025-11-20 12:12:20"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"4";"2025-11-20 12:12:20"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Plan de estudios";"3";"2025-11-20 12:12:20"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Recursos para el aprendizaje";"4";"2025-11-20 12:12:20"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Apoyo a estudiantes con bajo desempeño académico o con dificultades de interacción";"4";"2025-11-20 12:12:20"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Estímulos";"4";"2025-11-20 12:12:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"2";"2025-11-20 12:12:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Contabilidad";"3";"2025-11-20 12:12:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Oferta de servicios a la comunidad";"3";"2025-11-20 12:12:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de las familias";"3";"2025-11-20 12:12:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Proyectos de vida";"4";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"3";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"4";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"4";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Metas institucionales";"4";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"4";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Liderazgo";"3";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comité de Convivencia";"3";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"3";"2025-11-20 12:12:20"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Familias o Acudientes";"4";"2025-11-20 12:12:20"
