ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Evaluación";"2";"2025-11-15 10:19:51"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"2";"2025-11-15 10:19:51"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Plan de estudios";"2";"2025-11-15 10:19:51"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"4";"2025-11-15 10:19:51"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Formación y capacitación";"4";"2025-11-15 10:19:51"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"2";"2025-11-15 10:19:51"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Contabilidad";"1";"2025-11-15 10:19:51"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"2";"2025-11-15 10:19:51"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos físicos";"3";"2025-11-15 10:19:51"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"2";"2025-11-15 10:19:51"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"4";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"1";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Conflictos";"2";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manual de Convivencia";"3";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"4";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Conocimiento y apropiación del direccionamiento institucional";"1";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"3";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Seguimiento y autoevaluación";"3";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"3";"2025-11-15 10:19:51"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Otras Instituciones";"1";"2025-11-15 10:19:51"
