ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Enfoque metodológico";"2";"2025-11-20 15:39:20"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Evaluación";"1";"2025-11-20 15:39:20"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"1";"2025-11-20 15:39:20"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Apoyo a estudiantes con bajo desempeño académico o con dificultades de interacción";"2";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Apoyo a la investigación";"4";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Bienestar del talento humano";"3";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"3";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Asamblea y consejo de padres de familia";"3";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"3";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"2";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"1";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"2";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Presupuesto anual del Fondo de Servicios Educativos (FSE)";"4";"2025-11-20 15:39:20"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"1";"2025-11-20 15:39:20"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"4";"2025-11-20 15:39:20"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Trabajo en Equipo";"1";"2025-11-20 15:39:20"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Metas institucionales";"1";"2025-11-20 15:39:20"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Liderazgo";"1";"2025-11-20 15:39:20"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Uso de información (interna y externa) para la toma de decisiones";"2";"2025-11-20 15:39:20"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"1";"2025-11-20 15:39:20"
