ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"2";"2025-11-14 20:58:40"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Servicios de transporte, restaurante, cafetería y salud (enfermería, odontología, psicología)";"2";"2025-11-14 20:58:40"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"3";"2025-11-14 20:58:40"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Perfiles";"2";"2025-11-14 20:58:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"2";"2025-11-14 20:58:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"1";"2025-11-14 20:58:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Ingresos y gastos";"2";"2025-11-14 20:58:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Necesidades y expectativas de los estudiantes";"1";"2025-11-14 20:58:40"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos físicos";"2";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Actividades Extracurriculares";"2";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"3";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Bienestar del Alumnado";"2";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"3";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"3";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Conocimiento y apropiación del direccionamiento institucional";"3";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comité de Convivencia";"2";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"1";"2025-11-14 20:58:40"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Familias o Acudientes";"2";"2025-11-14 20:58:40"
