ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"2";"2025-11-17 13:15:13"
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"4";"2025-11-17 13:15:13"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"3";"2025-11-17 13:15:13"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Formación y capacitación";"3";"2025-11-17 13:15:13"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"3";"2025-11-17 13:15:13"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"2";"2025-11-17 13:15:13"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"2";"2025-11-17 13:15:13"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Proyectos de vida";"2";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"1";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Casos Difíciles";"3";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"2";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"1";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Conocimiento y apropiación del direccionamiento institucional";"1";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Metas institucionales";"2";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Articulación de planes, proyectos y acciones";"4";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Estrategia pedagógica";"2";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Asamblea de Padres de Familia";"2";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"3";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Familias o Acudientes";"3";"2025-11-17 13:15:13"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Sector Productivo";"2";"2025-11-17 13:15:13"
