ÁREA;PROCESO;COMPONENTE;VALORACIÓN;FECHA
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de la planta física y de los recursos";"Programas para la adecuación y embellecimiento de la planta física";"3";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Formación y capacitación";"4";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Inducción";"2";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Pertenencia del personal vinculado";"2";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a estudiantes pertenecientes a grupos étnicos";"1";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Atención educativa a grupos poblacionales o en situación de vulnerabilidad que experimentan barreras al aprendizaje y la participación";"1";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Escuela de padres";"2";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos físicos";"4";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"3";"2025-11-15 00:54:58"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Proyectos de vida";"3";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Ambiente Físico";"4";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Bienestar del Alumnado";"1";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Motivación hacia el Aprendizaje";"1";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Pertenencia y Participación";"1";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Política de inclusión de personas de diferentes grupos poblacionales o diversidad cultural";"1";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comité de Convivencia";"1";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Académico";"2";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Directivo";"3";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Familias o Acudientes";"1";"2025-11-15 00:54:58"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Otras Instituciones";"3";"2025-11-15 00:54:58"
