PREGUNTA;RESPUESTA
"¿Cuál es el aumentativo de 'casa'?";"D"
"¿Qué es una sílaba?";"D"
"¿Cuál es una conjunción?";"D"
"¿Qué número es mayor?";"D"
"¿Cuál es el sujeto en la oración: María estudia matemáticas?";"D"
"¿Qué tipo de palabra es 'ayer'?";"A"
"¿Qué tipo de texto cuenta una historia?";"A"
"¿Cuántas sílabas tiene la palabra 'casa'?";"A"
"¿Qué palabra tiene diptongo?";"A"
"¿Cuál es el diminutivo de 'perro'?";"A"
