PREGUNTA;RESPUESTA
"¿Cuál es el resultado de 18 ÷ 3?";"A"
"¿Cuál es el resultado de -5 + 8?";"A"
"Cual es el resultado de 30 - 17 ?";"B"
"¿Qué ángulo mide 90°?";"B"
"¿Cuántos lados tiene un hexágono?";"C"
"¿Cuál es el área de un rectángulo de base 6 cm y altura 4 cm?";"C"
"¿Cuál es un número impar?";"D"
"¿Qué figura tiene todos sus lados iguales?";"D"
"¿Cuál es el resultado de 4 + 3 × 2?";"A"
"¿Cuál es el valor de x en x + 5 = 12?";"A"
