PREGUNTA;RESPUESTA
"¿Cuál es el valor absoluto de -9?";"D"
"¿Qué figura tiene todos sus lados iguales?";"D"
"¿Cuánto es 100 ÷ 10?";"D"
"¿Cuál es el resultado de 18 ÷ 3?";"D"
"¿Cuál es un número impar?";"D"
"Cual es el resultado de 56 ÷ 8 ?";"D"
"¿Qué número decimal es equivalente a 1/4?";"D"
"¿Cuál es una fracción impropia?";"D"
"¿Cuál es el resultado de -5 + 8?";"D"
"¿Cuál es el perímetro de un cuadrado de lado 5 cm?";"D"
